"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Days in Trade","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Underlying","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2026-08-31","10:41:00",7674.98,"26 Sep 14 7685 C STO 60.30 | 13 Sep 14 7645 C BTO 85.20 | 13 Sep 14 7725 C BTO 39.95",-465,7750,"2026-09-03","15:23:00",3,-630,"Profit Target",2015,33.33333333333333,13,608260,6045,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",65,65,0.964,0.959,15.21,14.4,-14.24,-22.54,76.34,-95.7
"2026-08-26","10:41:00",7673.48,"28 Sep 9 7685 C STO 65.25 | 14 Sep 9 7645 C BTO 89.60 | 14 Sep 9 7725 C BTO 45.05",-425,7724.55,"2026-08-28","10:17:00",2,-575,"Profit Target",1960,32.94117647058823,14,602485,5950,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",70,70,0.969,0.962,15.5,14.61,-10.4,6.6,51.76,-29.41
"2026-08-25","10:41:00",7665.81,"26 Sep 8 7680 C STO 64.05 | 13 Sep 8 7640 C BTO 88.30 | 13 Sep 8 7720 C BTO 44.00",-430,7746.61,"2026-08-28","11:41:00",3,-585,"Profit Target",1885,33.72093023255814,13,606245,5590,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",65,65,0.968,0.968,15.8,14.23,23.8,-10.85,47.67,-90.7
"2026-08-21","10:41:00",7663.28,"30 Sep 4 7675 C STO 69.40 | 15 Sep 4 7635 C BTO 93.90 | 15 Sep 4 7715 C BTO 48.60",-380,7724.84,"2026-08-28","10:28:00",7,-515,"Profit Target",1875,32.89473684210527,15,604360,5700,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",75,75,0.974,0.961,15.47,14.39,24.52,-2.4,63.16,-100
"2026-08-20","10:41:00",7687.9,"28 Sep 3 7700 C STO 68.25 | 14 Sep 3 7660 C BTO 93.10 | 14 Sep 3 7740 C BTO 47.30",-400,7680.67,"2026-08-26","09:44:00",6,-540,"Profit Target",1820,32.5,14,598565,5600,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",70,70,0.972,0.937,15.75,15.49,-17.49,-2.59,55,-100
"2026-08-19","10:41:00",7730.75,"28 Sep 2 7745 C STO 64.10 | 14 Sep 2 7705 C BTO 88.35 | 14 Sep 2 7785 C BTO 44.00",-425,7687.04,"2026-08-26","15:01:00",7,-575,"Profit Target",1960,32.94117647058823,14,600525,5950,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",70,70,0.969,0.886,15.23,15.33,24.98,14.01,42.35,-94.12
"2026-08-11","10:41:00",7757.56,"26 Aug 25 7770 C STO 63.00 | 13 Aug 25 7730 C BTO 86.40 | 13 Aug 25 7810 C BTO 43.85",-435,7792.3,"2026-08-14","10:41:00",3,-590,"Profit Target",1885,33.33333333333333,13,596745,5655,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",65,65,0.967,0.951,15.37,14.55,14.4,-9.95,49.43,-49.43
"2026-08-10","10:41:00",7767.55,"26 Aug 24 7780 C STO 62.60 | 13 Aug 24 7740 C BTO 85.60 | 13 Aug 24 7820 C BTO 44.00",-450,7748.04,"2026-08-10","12:32:00",0,-610,"Profit Target",1950,33.33333333333333,13,594860,5850,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",65,65,0.966,0.942,15.19,15.72,-5.9,15.81,52.22,-18.89
"2026-08-06","10:41:00",7724.08,"30 Aug 20 7735 C STO 69.55 | 15 Aug 20 7695 C BTO 92.30 | 15 Aug 20 7775 C BTO 50.50",-380,7761.48,"2026-08-07","11:32:00",1,-515,"Profit Target",1875,32.89473684210527,15,592910,5700,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",75,75,0.974,0.967,15.54,14.96,-9.76,10.29,44.74,-13.16
"2026-08-05","10:41:00",7761.93,"28 Aug 19 7775 C STO 75.75 | 14 Aug 19 7735 C BTO 98.25 | 14 Aug 19 7815 C BTO 57.15",-400,7740.24,"2026-08-05","12:22:00",0,-540,"Profit Target",1820,32.5,14,587165,5600,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",70,70,0.975,0.953,16.45,16.13,35.1,-9.69,50,-20
"2026-08-04","10:41:00",7676.79,"24 Aug 18 7690 C STO 65.85 | 12 Aug 18 7650 C BTO 88.60 | 12 Aug 18 7730 C BTO 47.85",-485,7736.47,"2026-08-07","09:49:00",3,-655,"Profit Target",1920,32.98969072164948,12,591035,5820,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",60,60,0.965,0.96,15.79,15.06,30.12,46.17,49.48,-100
