"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Days in Trade","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Underlying","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2026-05-11","09:35:00",7401.28,"1 May 22 7220 P STO 25.70 | 1 May 22 7560 C STO 19.30 | 1 Jun 3 7220 P BTO 50.95 | 1 Jun 3 7575 C BTO 38.90",-4495,7417.61,"2026-05-20","14:48:00",9,-4160,"Below Short/Long Ratio",-345.24,-7.680533926585095,1,130627.72,5995,"SPX","*SPX DC--11/23--Daily--v2.1.1",7.12,3.12,0.501,0.099,-13.62,15.97,10.01,-10.34
"2026-05-04","12:09:00",7179.79,"1 May 15 6980 P STO 28.50 | 1 May 15 7335 C STO 18.15 | 1 May 27 6980 P BTO 52.75 | 1 May 27 7340 C BTO 40.40",-4660,7384.13,"2026-05-07","10:56:00",3,-4850,"Below Delta",179.76,3.8575107296137334,1,130972.96,5160,"SPX","*SPX DC--11/23--Daily--v2.1.1",7.12,3.12,0.501,0.652,-1.74,-48.59,10.09,-1.5
"2026-04-27","09:53:00",7156.25,"1 May 8 6960 P STO 27.60 | 1 May 8 7310 C STO 20.45 | 1 May 20 6960 P BTO 54.55 | 1 May 20 7325 C BTO 41.35",-4795,7338.89,"2026-05-06","10:41:00",9,-4535,"Below Delta",-270.24,-5.635870698644421,1,130793.2,6295,"SPX","*SPX DC--11/23--Daily--v2.1.1",7.12,3.12,0.501,0.518,-12.36,3.53,10.95,-16.58
"2026-04-20","09:35:00",7115.54,"1 May 1 6930 P STO 27.10 | 1 May 1 7275 C STO 19.05 | 1 May 13 6930 P BTO 50.00 | 1 May 13 7275 C BTO 41.95",-4590,7126.14,"2026-04-29","14:58:00",9,-5160,"Below Short/Long Ratio",559.76,12.195206971677559,1,131063.44,4590,"SPX","*SPX DC--11/23--Daily--v2.1.1",7.12,3.12,0.502,0.098,-9.01,-1.51,29.08,-5.23
"2026-04-13","12:34:00",6838.42,"1 Apr 24 6650 P STO 27.00 | 1 Apr 24 6980 C STO 16.90 | 1 May 6 6650 P BTO 52.15 | 1 May 6 7000 C BTO 35.20",-4355,7041.5,"2026-04-16","11:16:00",3,-4450,"Below Delta",84.76,1.946268656716418,1,130503.68,6355,"SPX","*SPX DC--11/23--Daily--v2.1.1",7.12,3.12,0.503,0.71,-10.42,31.95,12.17,-9.3
"2025-12-08","09:35:00",6873.36,"1 Dec 19 6710 P STO 23.35 | 1 Dec 19 7010 C STO 16.25 | 1 Dec 31 6710 P BTO 41.15 | 1 Dec 31 7010 C BTO 32.95",-3460,6792.74,"2025-12-18","15:46:00",10,-3120,"Below Short/Long Ratio",-350.24,-10.122543352601156,1,130418.92,3460,"SPX","*SPX DC--11/23--Daily--v2.1.1",7.12,3.12,0.534,0.099,4.8,-1.84,10.12,-21.97
"2025-10-27","10:08:00",6857.77,"1 Nov 7 6715 P STO 20.65 | 1 Nov 7 6980 C STO 13.80 | 1 Nov 19 6720 P BTO 40.35 | 1 Nov 19 7000 C BTO 27.05",-3305,6684.05,"2025-11-07","09:32:00",11,-5845,"Above Delta",2529.76,76.54341906202724,1,130769.16,5305,"SPX","*SPX DC--11/23--Daily--v2.1.1",7.12,3.12,0.511,0.403,53.77,12.31,77.16,-0.15
"2025-08-18","09:35:00",6450.64,"2 Aug 29 6315 P STO 19.00 | 2 Aug 29 6560 C STO 13.60 | 2 Sep 10 6320 P BTO 35.50 | 2 Sep 10 6560 C BTO 29.15",-3215,6492.43,"2025-08-28","09:32:00",10,-2810,"Below Short/Long Ratio",-830.48,-12.91570762052877,2,128239.4,6430,"SPX","*SPX DC--11/23--Daily--v2.1.1",14.24,6.24,0.504,0.049,-4.78,5.62,7.93,-16.02
"2025-08-11","15:51:00",6372.59,"1 Aug 22 6235 P STO 20.25 | 1 Aug 22 6485 C STO 14.05 | 1 Sep 3 6240 P BTO 38.40 | 1 Sep 3 6490 C BTO 30.05",-3425,6394.53,"2025-08-20","15:59:00",9,-3550,"Below Short/Long Ratio",114.76,3.3506569343065693,1,129069.88,3925,"SPX","*SPX DC--11/23--Daily--v2.1.1",7.12,3.12,0.501,0.099,0.22,-17.08,13.58,-1.61
"2025-07-21","09:35:00",6312.37,"1 Aug 1 6170 P STO 19.60 | 1 Aug 1 6430 C STO 15.30 | 1 Aug 13 6170 P BTO 38.85 | 1 Aug 13 6450 C BTO 29.40",-3345,6350.15,"2025-07-31","15:36:00",10,-3285,"Below Short/Long Ratio",-70.24,-2.0998505231689086,1,128955.12,5345,"SPX","*SPX DC--11/23--Daily--v2.1.1",7.12,3.12,0.511,0.098,7.95,7.63,2.99,-26.76
"2025-07-07","12:23:00",6222.18,"1 Jul 18 6070 P STO 21.00 | 1 Jul 18 6355 C STO 15.60 | 1 Jul 30 6070 P BTO 40.85 | 1 Jul 30 6375 C BTO 31.90",-3625,6256.03,"2025-07-16","09:32:00",9,-3135,"Below Short/Long Ratio",-500.24,-13.799724137931035,1,129025.36,5625,"SPX","*SPX DC--11/23--Daily--v2.1.1",7.12,3.12,0.503,0.074,-20.31,-36.86,7.31,-13.24
"2025-06-16","11:38:00",6042.34,"1 Jun 27 5890 P STO 19.90 | 1 Jun 27 6165 C STO 15.85 | 1 Jul 9 5890 P BTO 38.90 | 1 Jul 9 6175 C BTO 32.00",-3525,6097.73,"2025-06-25","10:16:00",9,-3870,"Below Short/Long Ratio",334.76,9.496737588652483,1,129525.6,4525,"SPX","*SPX DC--11/23--Daily--v2.1.1",7.12,3.12,0.504,0.098,27.03,38.34,19.43,0
