"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Days in Trade","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Underlying","Strategy","Opening Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2026-09-03","11:53:00",7748.45,"3 Sep 3 7745 P BTO 7.65 | 3 Sep 3 7750 C BTO 8.55 | 3 Sep 3 7785 C STO 0.75 | 3 Sep 3 7715 P STO 1.65",-1390,7747.71,"2026-09-03","16:00:00",0,0,"Expired",-4185,-100.35971223021582,3,265593,4170,"SPX","*SPX RIC--0 DTE--Daily--v2.1",15,0.148,1,14.72,14.23,20.11,61.74,0,-100
"2026-09-02","09:45:00",7643.83,"3 Sep 2 7635 P BTO 7.20 | 3 Sep 2 7645 C BTO 10.65 | 3 Sep 2 7680 C STO 1.25 | 3 Sep 2 7610 P STO 2.30",-1440,7666.6,"2026-09-02","16:00:00",0,-2160,"Expired",2145,49.65277777777778,3,269778,4320,"SPX","*SPX RIC--0 DTE--Daily--v2.1",15,0.199,0.005,15.9,15.28,3.11,9.25,95.83,-9.03
"2026-08-28","10:39:00",7743.04,"3 Aug 28 7735 P BTO 8.55 | 3 Aug 28 7745 C BTO 11.35 | 3 Aug 28 7780 C STO 1.30 | 3 Aug 28 7710 P STO 3.15",-1555,7711.76,"2026-08-28","16:00:00",0,-2324,"Expired",2292,49.131832797427656,3,267633,4665,"SPX","*SPX RIC--0 DTE--Daily--v2.1",15,0.224,0.011,14.24,14.36,4.18,7.87,54.98,-23.15
"2026-08-27","10:04:00",7707.89,"3 Aug 27 7700 P BTO 9.70 | 3 Aug 27 7710 C BTO 11.25 | 3 Aug 27 7745 C STO 1.50 | 3 Aug 27 7675 P STO 3.65",-1590,7730.99,"2026-08-27","16:00:00",0,-2099,"Expired",1512,31.69811320754717,3,265341,4770,"SPX","*SPX RIC--0 DTE--Daily--v2.1",15,0.246,0.005,14.76,14.5,34.64,-2.45,74.21,-50.94
"2026-08-21","11:23:00",7676.47,"4 Aug 21 7670 P BTO 5.45 | 4 Aug 21 7675 C BTO 9.15 | 4 Aug 21 7710 C STO 0.55 | 4 Aug 21 7640 P STO 0.95",-1320,7674.37,"2026-08-21","16:00:00",0,0,"Expired",-5300,-100.37878787878789,4,263829,5280,"SPX","*SPX RIC--0 DTE--Daily--v2.1",20,0.103,0.222,15.25,15.16,24.52,10.79,64.39,-100
"2026-08-19","12:04:00",7731.25,"4 Aug 19 7725 P BTO 5.35 | 4 Aug 19 7730 C BTO 8.25 | 4 Aug 19 7765 C STO 0.45 | 4 Aug 19 7695 P STO 0.80",-1245,7707.98,"2026-08-19","16:00:00",0,-1702,"Expired",1808,36.30522088353413,4,269129,4980,"SPX","*SPX RIC--0 DTE--Daily--v2.1",20,0.092,0.006,15.11,14.77,24.98,14.51,79.52,-53.01
"2026-08-12","10:19:00",7752.3,"3 Aug 12 7745 P BTO 8.65 | 3 Aug 12 7755 C BTO 10.35 | 3 Aug 12 7785 C STO 1.90 | 3 Aug 12 7715 P STO 2.25",-1495,7748.5,"2026-08-12","16:00:00",0,0,"Expired",-4500,-100.33444816053512,3,267321,4485,"SPX","*SPX RIC--0 DTE--Daily--v2.1",15,0.218,1,14.76,14.45,37.26,-13.16,0,-100
"2026-07-30","12:14:00",7414.04,"3 Jul 30 7405 P BTO 9.35 | 3 Jul 30 7415 C BTO 11.40 | 3 Jul 30 7450 C STO 1.25 | 3 Jul 30 7380 P STO 3.95",-1565,7437.63,"2026-07-30","16:00:00",0,-2263,"Expired",2079,44.281150159744406,3,271821,4695,"SPX","*SPX RIC--0 DTE--Daily--v2.1",15,0.251,0.005,18.16,17.5,74.3,23.59,85.3,-16.93
"2026-07-21","10:27:00",7489.99,"3 Jul 21 7480 P BTO 8.55 | 3 Jul 21 7490 C BTO 11.35 | 3 Jul 21 7525 C STO 0.90 | 3 Jul 21 7455 P STO 3.35",-1575,7509.2,"2026-07-21","16:00:00",0,-1920,"Expired",1020,21.58730158730159,3,269742,4725,"SPX","*SPX RIC--0 DTE--Daily--v2.1",15,0.214,0.005,17.43,16.93,46.67,0.04,55.56,-8.89
"2026-07-20","12:07:00",7491.93,"3 Jul 20 7485 P BTO 7.05 | 3 Jul 20 7490 C BTO 9.85 | 3 Jul 20 7525 C STO 0.65 | 3 Jul 20 7455 P STO 1.55",-1480,7443.28,"2026-07-20","16:00:00",0,-3000,"Expired",4545,102.36486486486487,3,268722,4440,"SPX","*SPX RIC--0 DTE--Daily--v2.1",15,0.13,0.286,17.54,18.5,31.49,2.75,103.04,-23.65
"2026-07-15","10:17:00",7579.22,"4 Jul 15 7570 P BTO 7.05 | 4 Jul 15 7580 C BTO 9.15 | 4 Jul 15 7615 C STO 0.50 | 4 Jul 15 7545 P STO 2.40",-1340,7572.4,"2026-07-15","16:00:00",0,0,"Expired",-5380,-100.37313432835822,4,264177,5360,"SPX","*SPX RIC--0 DTE--Daily--v2.1",20,0.179,0.5,15.91,15.65,28.13,7.5,66.79,-100
"2026-07-14","10:56:00",7542.92,"3 Jul 14 7535 P BTO 8.95 | 3 Jul 14 7545 C BTO 10.95 | 3 Jul 14 7580 C STO 1.15 | 3 Jul 14 7510 P STO 3.25",-1560,7543.59,"2026-07-14","16:00:00",0,0,"Expired",-4695,-100.32051282051282,3,269557,4680,"SPX","*SPX RIC--0 DTE--Daily--v2.1",15,0.221,0.167,16.39,16.42,21.36,6.22,16.03,-100
"2026-07-10","09:53:00",7557.7,"3 Jul 10 7550 P BTO 9.25 | 3 Jul 10 7560 C BTO 10.30 | 3 Jul 10 7595 C STO 0.95 | 3 Jul 10 7525 P STO 3.55",-1515,7575.39,"2026-07-10","16:00:00",0,-1539,"Expired",57,1.2541254125412542,3,274252,4545,"SPX","*SPX RIC--0 DTE--Daily--v2.1",15,0.23,0.006,15.52,15.03,4,10.06,32.34,-46.53
"2026-07-02","10:03:00",7538.4,"3 Jul 2 7530 P BTO 9.85 | 3 Jul 2 7540 C BTO 11.20 | 3 Jul 2 7575 C STO 1.30 | 3 Jul 2 7505 P STO 4.30",-1555,7483.24,"2026-07-02","16:00:00",0,-2500,"Expired",2820,60.45016077170418,3,274195,4665,"SPX","*SPX RIC--0 DTE--Daily--v2.1",15,0.266,0.47,15.84,16.12,11.91,43.26,64.63,-6.75
"2026-06-24","11:38:00",7422.45,"3 Jun 24 7415 P BTO 9.00 | 3 Jun 24 7425 C BTO 11.25 | 3 Jun 24 7455 C STO 1.65 | 3 Jun 24 7385 P STO 2.75",-1595,7358.22,"2026-06-24","16:00:00",0,-3000,"Expired",4200,87.7742946708464,3,271375,4785,"SPX","*SPX RIC--0 DTE--Daily--v2.1",15,0.217,0.476,18.15,19.5,5.42,51.57,88.09,-13.17
"2026-06-16","09:47:00",7562.52,"3 Jun 16 7555 P BTO 10.00 | 3 Jun 16 7565 C BTO 11.75 | 3 Jun 16 7600 C STO 2.35 | 3 Jun 16 7530 P STO 3.90",-1560,7511.35,"2026-06-16","16:00:00",0,-2500,"Expired",2805,59.93589743589743,3,267175,4680,"SPX","*SPX RIC--0 DTE--Daily--v2.1",15,0.287,0.426,15.95,16.26,-5.51,13.74,60.26,-26.6
"2026-06-08","12:16:00",7448.68,"3 Jun 8 7440 P BTO 9.20 | 3 Jun 8 7450 C BTO 11.70 | 3 Jun 8 7485 C STO 1.85 | 3 Jun 8 7415 P STO 3.35",-1580,7405.73,"2026-06-08","16:00:00",0,-2500,"Expired",2745,57.91139240506329,3,264370,4740,"SPX","*SPX RIC--0 DTE--Daily--v2.1",15,0.249,0.271,18.27,18.72,56.83,8.11,58.54,-39.56
"2026-05-29","09:51:00",7593.34,"3 May 29 7585 P BTO 10.20 | 3 May 29 7595 C BTO 11.25 | 3 May 29 7630 C STO 1.45 | 3 May 29 7560 P STO 4.25",-1585,7580.06,"2026-05-29","16:00:00",0,-494,"Expired",-3288,-69.14826498422713,3,261625,4755,"SPX","*SPX RIC--0 DTE--Daily--v2.1",15,0.266,0.022,15.54,15.34,15.7,14.01,4.1,-88.33
"2026-05-27","12:24:00",7514.6,"3 May 27 7510 P BTO 7.35 | 3 May 27 7515 C BTO 9.15 | 3 May 27 7550 C STO 0.90 | 3 May 27 7480 P STO 1.30",-1440,7520.36,"2026-05-27","16:00:00",0,-536,"Expired",-2727,-63.125,3,264913,4320,"SPX","*SPX RIC--0 DTE--Daily--v2.1",15,0.133,0.018,16.81,16.32,6.89,-11.41,3.47,-66.67
"2026-05-07","10:22:00",7372.72,"3 May 7 7365 P BTO 8.10 | 3 May 7 7375 C BTO 9.15 | 3 May 7 7410 C STO 1.10 | 3 May 7 7340 P STO 2.90",-1335,7337.11,"2026-05-07","16:00:00",0,-2500,"Expired",3480,86.89138576779027,3,267640,4005,"SPX","*SPX RIC--0 DTE--Daily--v2.1",15,0.232,0.12,17.14,17.07,11.66,-4.06,88.01,-12.73
"2026-05-01","09:54:00",7248.23,"3 May 1 7240 P BTO 8.45 | 3 May 1 7250 C BTO 10.55 | 3 May 1 7285 C STO 1.05 | 3 May 1 7215 P STO 3.35",-1470,7230.12,"2026-05-01","16:00:00",0,-988,"Expired",-1461,-33.12925170068027,3,264160,4410,"SPX","*SPX RIC--0 DTE--Daily--v2.1",15,0.232,0.009,16.58,16.98,25.53,13.69,54.76,-90.48
"2026-04-30","11:02:00",7167.52,"3 Apr 30 7160 P BTO 10.05 | 3 Apr 30 7170 C BTO 11.25 | 3 Apr 30 7205 C STO 1.40 | 3 Apr 30 7135 P STO 4.15",-1585,7209.01,"2026-04-30","16:00:00",0,-3500,"Expired",5730,120.50473186119875,3,265621,4755,"SPX","*SPX RIC--0 DTE--Daily--v2.1",15,0.261,0.119,17.38,17.03,25.8,5.77,120.82,-28.71
"2026-04-24","10:45:00",7133.59,"3 Apr 24 7125 P BTO 9.10 | 3 Apr 24 7135 C BTO 11.55 | 3 Apr 24 7170 C STO 1.40 | 3 Apr 24 7100 P STO 3.75",-1560,7165.08,"2026-04-24","16:00:00",0,-3008,"Expired",4329,92.5,3,259891,4680,"SPX","*SPX RIC--0 DTE--Daily--v2.1",15,0.249,0.003,18.76,18.65,28.08,-2.89,101.28,-4.17
"2026-04-17","11:16:00",7128.48,"3 Apr 17 7120 P BTO 9.75 | 3 Apr 17 7130 C BTO 12.30 | 3 Apr 17 7160 C STO 2.80 | 3 Apr 17 7095 P STO 4.05",-1530,7126.06,"2026-04-17","16:00:00",0,0,"Expired",-4605,-100.32679738562092,3,255562,4590,"SPX","*SPX RIC--0 DTE--Daily--v2.1",15,0.311,1,17.17,17.49,33.27,53.93,18.95,-100
"2026-04-15","10:16:00",6985.82,"3 Apr 15 6980 P BTO 8.90 | 3 Apr 15 6985 C BTO 10.60 | 3 Apr 15 7020 C STO 1.60 | 3 Apr 15 6950 P STO 2.65",-1535,7022.95,"2026-04-15","16:00:00",0,-3500,"Expired",5880,127.6872964169381,3,260167,4605,"SPX","*SPX RIC--0 DTE--Daily--v2.1",15,0.218,0.083,17.51,18.05,10.79,7.65,128.01,-10.75
"2026-04-14","10:10:00",6927.84,"3 Apr 14 6920 P BTO 7.75 | 3 Apr 14 6930 C BTO 9.50 | 3 Apr 14 6965 C STO 1.35 | 3 Apr 14 6895 P STO 2.85",-1315,6967.38,"2026-04-14","16:00:00",0,-3500,"Expired",6540,165.77946768060835,3,254287,3945,"SPX","*SPX RIC--0 DTE--Daily--v2.1",15,0.243,0.046,18.04,18.33,23.96,17.64,166.16,-1.52
